user,item,rating
1094,187,4
589,396,3
1356,364,5
793,101,5
314,373,3
92,279,1
1224,664,5
1191,79,4
503,702,5
539,649,2
311,45,3
1393,279,4
287,609,3
546,621,5
740,76,4
519,309,3
973,400,5
1323,626,5
1203,494,5
1072,580,5
1142,703,5
1316,117,5
269,452,4
1001,23,3
348,321,4
691,315,4
628,268,4
117,546,1
490,574,3
942,592,5
1189,420,3
1359,609,2
541,666,5
386,355,5
500,314,4
1217,330,3
698,410,3
909,315,3
430,473,3
1238,373,3
757,58,1
1076,672,5
877,671,4
938,159,3
882,481,3
850,262,5
492,689,3
488,630,5
668,47,4
786,303,4
1363,224,5
872,102,5
189,627,4
138,488,5
113,569,5
870,533,5
168,651,4
226,634,4
203,70,2
809,210,4
684,162,5
567,24,4
207,314,3
161,73,3
932,220,5
252,187,5
1049,126,4
869,597,3
865,275,5
279,203,3
1271,646,3
320,289,5
733,501,3
147,496,5
561,188,3
525,110,1
173,305,5
21,457,4
413,414,2
94,225,1
26,689,3
1359,116,5
605,316,2
961,149,4
406,473,4
1368,79,4
533,542,4
1270,224,5
67,262,5
269,637,4
1128,156,1
129,691,4
1365,576,4
1137,460,5
668,659,5
682,412,4
233,680,5
1391,531,5
412,83,5
523,47,4
348,319,4
35,186,4
287,204,3
673,301,3
689,184,3
71,85,1
981,365,5
1218,113,1
1359,515,4
329,58,4
282,390,5
1279,391,1
1249,474,3
867,413,5
238,72,4
1138,15,3
1084,184,4
63,152,5
1020,544,5
752,671,3
1129,624,3
892,55,5
602,655,5
817,118,1
1247,213,5
1398,73,3
603,283,4
205,118,4
900,491,4
1216,559,4
386,520,5
536,348,1
1065,496,4
234,324,5
802,471,3
146,4,3
143,322,3
277,88,3
334,254,5
935,619,5
244,396,5
865,325,5
1140,252,5
1289,666,3
1061,185,4
1226,148,2
105,365,4
183,450,4
455,225,4
1406,136,5
197,286,5
1037,686,4
241,314,5
1394,66,5
876,641,5
1369,32,2
912,593,4
865,685,5
4,84,4
403,170,3
712,502,4
263,461,4
189,79,5
8,457,5
113,416,3
162,139,5
741,2,5
785,197,5
895,296,4
951,203,4
983,44,4
897,273,5
947,388,1
691,688,5
913,65,2
359,81,5
1025,677,4
1212,607,2
652,534,4
346,280,4
489,504,1
259,428,4
459,699,4
1411,529,5
180,410,3
594,531,5
138,593,5
334,284,5
655,632,4
873,261,5
1016,488,5
366,277,5
905,283,1
262,408,1
80,665,5
284,234,1
1352,146,5
137,197,5
107,84,1
1109,649,3
555,89,5
104,478,5
468,387,4
949,79,4
643,53,4
1319,273,4
1124,385,5
246,17,5
532,381,5
165,3,4
1093,390,4
248,621,5
815,412,3
562,259,5
526,465,5
427,440,5
297,72,1
723,277,4
1310,182,5
456,688,5
101,66,5
1384,95,1
751,28,5
649,523,5
1367,483,5
824,250,2
1238,574,5
508,38,3
453,594,3
373,83,5
1078,574,4
939,32,5
55,110,5
130,181,4
770,473,4
661,84,3
275,642,3
61,170,3
1088,502,3
1308,699,4
888,27,1
1303,501,3
1286,547,3
1317,68,3
406,224,5
289,548,5
318,578,5
188,36,5
670,257,4
1042,26,2
768,485,4
578,100,3
1149,471,5
754,620,4
326,10,5
98,284,5
1140,629,5
926,600,5
355,691,3
57,484,3
754,385,5
773,554,5
276,577,2
887,299,4
370,453,1
384,650,5
326,440,5
54,548,5
294,83,3
181,674,4
175,686,1
1216,196,3
550,4,5
426,93,3
1203,582,5
504,434,5
263,473,4
59,299,3
366,538,5
1288,530,3
151,525,5
511,230,3
497,633,5
16,144,3
1062,170,3
1028,43,5
963,253,4
5,280,1
69,3,3
1156,567,5
872,448,4
1190,81,4
52,114,5
1173,361,5
795,164,4
125,14,5
480,297,3
670,613,5
1175,24,3
152,206,4
135,691,4
38,287,5
1338,305,5
885,152,5
292,44,3
996,250,3
1012,665,5
663,115,5
229,606,3
1291,50,5
493,597,3
106,60,3
186,350,5
306,496,3
386,105,5
440,644,5
1338,373,5
1036,43,5
