user,item,rating
135,55,4
215,1277,3
371,295,5
516,242,5
389,935,3
512,1112,1
308,953,5
668,192,4
327,1012,5
369,580,2
332,454,3
175,1053,4
669,670,3
267,830,5
685,1351,4
590,232,3
516,379,5
666,755,5
11,142,5
164,1107,5
457,392,5
308,126,5
273,44,4
539,960,3
79,15,4
555,219,4
552,235,4
569,442,1
78,297,3
706,1268,5
403,760,3
291,670,2
170,0,5
111,754,5
38,128,4
572,1360,3
508,1235,3
472,973,3
493,702,3
542,636,3
647,675,1
704,569,5
100,1160,4
107,743,3
17,493,3
554,480,5
639,129,3
3,804,5
204,1003,4
127,1275,4
615,162,5
202,375,5
325,263,4
435,380,5
558,1388,5
323,81,5
663,593,4
167,1313,4
70,900,2
299,803,4
467,199,5
583,642,4
38,840,3
222,314,3
138,178,5
415,55,5
276,1141,4
568,497,3
23,1187,5
503,1085,3
318,1005,3
59,1367,5
705,218,3
259,98,5
57,881,3
155,1263,1
51,1358,5
484,1080,4
62,838,2
74,4,1
640,129,3
589,787,5
463,325,2
658,108,4
435,274,4
639,1412,4
196,837,4
296,876,5
189,194,5
92,1047,4
31,632,1
668,429,4
673,426,4
277,8,5
332,528,5
71,556,4
40,1181,5
529,259,5
1,344,5
426,217,4
79,1389,4
614,662,4
669,585,3
311,911,3
658,1071,3
454,238,1
411,1003,5
494,546,1
291,362,4
24,90,4
191,561,5
108,1412,1
404,1290,3
558,300,5
240,1404,4
548,985,3
139,939,4
425,559,5
380,841,5
243,1160,3
425,1186,3
662,627,5
429,1239,5
546,917,1
490,165,5
331,1354,3
625,373,4
272,599,4
474,1016,4
154,153,4
296,971,5
381,625,1
172,1197,4
427,841,5
680,542,3
563,1061,3
661,987,3
2,652,3
277,1344,5
619,636,5
11,776,5
23,7,5
45,538,5
201,1085,3
320,940,4
20,580,2
236,740,4
216,688,4
525,634,4
614,514,5
397,71,5
544,386,4
522,199,5
25,891,5
164,795,5
506,234,2
167,404,4
23,1236,5
71,1090,4
331,837,3
89,853,4
273,1125,4
325,1277,5
285,238,5
303,877,3
93,1267,5
468,403,5
450,53,5
507,1024,4
101,852,4
645,405,4
111,1348,5
176,366,1
555,909,5
625,1323,2
583,1068,5
19,50,4
186,1370,2
190,941,4
325,1076,4
44,1301,1
190,495,4
195,852,4
560,1096,5
118,1110,3
554,974,5
276,1202,5
26,402,5
344,71,4
627,856,5
60,1412,4
435,793,5
108,926,5
546,969,1
594,968,1
257,123,5
121,1277,1
376,975,5
319,188,5
504,298,1
239,321,3
406,465,5
584,1231,5
663,1015,4
631,949,4
122,612,4
393,1009,4
490,810,5
355,618,5
613,905,5
220,108,4
256,561,4
141,998,5
430,1002,3
150,863,5
6,772,5
95,231,5
369,103,1
375,783,4
62,259,5
211,1185,5
205,471,5
275,893,1
226,555,5
189,683,5
205,656,5
701,258,2
542,948,5
458,31,3
129,686,3
553,1037,5
379,430,4
324,842,5
488,1173,5
502,340,4
556,1367,4
529,70,3
196,719,3
525,1409,3
180,853,3
480,589,4
623,257,1
292,1369,3
421,112,3
575,332,3
488,957,5
261,806,5
539,1358,5
396,965,5
51,568,4
439,677,2
641,361,4
614,858,3
87,756,5
667,112,4
129,1318,5
79,1082,5
45,824,5
145,409,5
294,648,3
212,197,3
667,810,5
299,845,5
463,100,2
507,721,4
577,165,1
0,401,5
653,515,5
302,1098,5
439,1037,3
599,1402,4
20,1071,1
154,676,3
460,824,5
255,1189,3
593,835,5
425,1396,5
228,702,4
617,877,3
493,234,5
640,1325,3
370,118,5
153,1079,3
281,442,5
111,28,3
211,826,3
407,494,5
195,793,4
603,279,1
458,680,3
282,950,5
641,1235,4
330,733,5
315,575,5
391,1233,4
177,112,5
301,927,3
51,401,5
541,1028,3
186,121,4
146,429,4
142,846,5
99,802,5
618,1192,5
116,161,3
652,593,3
376,123,5
54,459,5
551,1151,3
46,732,5
616,32,3
373,122,5
157,237,3
111,780,5
409,290,5
99,935,5
417,947,5
536,1019,5
194,333,3
448,1024,4
634,634,2
648,569,5
398,1056,4
609,596,1
121,243,5
440,628,4
320,1136,4
151,1171,5
22,783,2
61,919,5
211,278,5
319,690,5
59,603,5
251,511,4
356,500,5
650,872,5
134,10,5
395,1253,5
23,1042,5
209,1307,3
585,320,5
308,830,5
309,1214,5
436,1186,4
310,258,4
562,879,4
541,426,3
303,399,5
321,1045,4
699,614,5
673,713,5
590,1191,3
199,670,3
92,1166,3
502,799,5
482,492,5
595,769,4
190,1176,5
488,1093,5
414,191,5
234,1054,1
371,1283,5
615,247,4
485,159,5
325,1412,5
379,95,5
513,1007,5
610,1264,1
303,1228,5
39,1280,1
478,612,4
40,229,3
546,738,1
661,1140,4
235,1129,5
399,1016,5
204,264,3
648,642,5
139,175,4
160,1221,3
537,239,5
500,90,1
388,958,5
496,573,5
452,1082,5
565,855,4
211,517,3
663,763,5
582,202,4
681,47,2
23,589,5
238,420,5
218,1169,4
57,680,2
20,343,1
461,1010,5
169,223,5
7,135,4
465,535,5
675,309,3
292,269,5
11,962,4
180,406,3
699,444,5
401,1341,4
189,1040,4
565,849,4
700,1406,5
513,14,5
30,594,5
268,128,4
554,766,5
205,1143,5
259,333,3
202,1274,4
432,1391,2
430,1016,4
29,103,1
452,1041,5
441,956,4
79,751,5
667,95,5
664,280,5
409,1344,5
380,249,5
185,629,3
603,10,2
512,90,1
13,1199,4
253,1263,5
491,703,5
362,1257,4
531,1141,4
616,846,4
328,44,3
307,530,5
516,433,3
356,1287,5
480,1224,4
283,996,5
519,521,5
98,1098,5
156,591,5
460,30,3
362,1113,5
222,1358,5
423,56,5
496,229,4
75,51,4
156,1153,5
430,1189,3
597,248,5
194,1162,4
509,1235,2
429,1387,5
277,694,3
228,2,5
505,1136,3
88,1411,4
169,1352,5
628,1338,3
563,538,1
568,43,3
81,905,3
62,1327,2
330,521,5
687,967,3
262,830,5
398,913,4
490,945,5
77,90,2
315,898,4
336,276,2
446,74,5
336,368,1
415,1,5
85,880,5
400,1268,5
310,1374,3
164,1023,5
420,13,3
111,1279,5
405,1077,5
122,154,5
554,722,3
292,65,4
614,685,5
115,101,5
538,604,1
582,1374,2
570,1240,5
373,1040,4
477,992,3
217,87,5
473,818,3
75,960,3
687,1271,4
354,632,4
441,911,4
119,1277,2
423,206,4
554,46,3
641,307,3
430,659,5
361,396,4
417,968,5
291,1045,5
391,1239,5
294,784,5
354,887,5
31,1034,1
58,1334,3
94,1005,3
358,869,5
232,1099,5
489,23,5
424,1220,2
168,776,5
690,117,1
514,877,1
697,232,3
405,506,5
690,968,1
180,1354,3
387,894,5
196,441,3
487,56,5
337,176,5
14,769,4
297,465,5
33,1275,2
134,951,5
295,1126,4
448,236,3
515,86,5
518,416,5
614,206,4
399,1375,3
641,332,4
295,397,5
84,664,4
390,1225,5
444,196,4
292,1181,5
333,405,3
326,317,3
68,1099,5
650,791,5
308,887,5
258,1283,5
235,1193,5
543,1189,4
465,247,5
338,405,3
461,1222,5
350,1097,5
412,649,4
514,172,2
609,675,2
222,674,4
632,388,5
168,914,5
244,1076,4
45,663,4
227,1042,5
2,675,3
589,641,5
702,578,4
640,1138,4
396,441,3
7,391,5
513,1232,4
82,295,4
376,549,5
613,813,3
518,569,5
213,32,3
132,379,5
94,1402,4
627,788,4
574,1308,5
358,376,5
134,1288,5
639,866,5
325,761,5
619,269,5
218,179,3
361,250,5
348,1131,3
287,779,3
694,630,5
483,612,3
166,741,4
50,888,2
409,465,4
446,1023,5
688,267,5
691,1092,5
705,787,3
695,689,2
607,317,3
153,230,5
583,163,4
583,1372,4
488,132,5
570,1133,5
570,323,5
57,898,2
614,800,3
352,344,5
435,186,4
632,1113,4
228,443,5
84,818,4
336,416,1
110,879,4
60,307,4
215,745,5
294,787,5
272,1205,4
562,225,4
111,914,5
354,531,4
284,349,4
429,488,5
74,321,1
706,1205,5
230,472,5
354,238,5
399,280,3
129,725,5
669,437,3
665,180,5
206,496,5
518,913,4
132,1309,4
662,771,5
291,1218,4
422,855,4
373,1386,5
296,444,5
493,1041,3
302,1137,5
555,1076,5
107,1039,5
700,697,5
211,467,4
567,110,2
50,805,5
164,1001,5
52,1257,4
188,962,4
331,1156,4
631,754,5
525,511,4
667,827,3
478,30,4
654,788,4
555,1371,4
144,755,5
500,109,2
602,1260,5
240,1133,5
539,206,4
98,588,5
511,267,5
420,1015,4
328,116,5
176,35,1
688,876,5
537,187,5
515,376,5
614,637,5
379,669,3
23,72,5
130,950,1
563,677,5
502,1070,3
670,892,2
680,867,3
0,1173,5
